Name EN,Name AR,Description,Price Display,Price Note,Icon,Order,Status
Lecture or Hosting,احجز لمحاضرة أو استضافة,Book Imam Shamsan for a lecture or hosting at your event,$300–$500,Based on distance and location and length of lecture,,1,Active
Sermon (Khutbah),احجز لخطبة,Book a Friday khutbah delivered by Imam Shamsan,$300–$500,One khutba $300 in town. Two khutbas $500,,2,Active
Ruqyah Session,احجز جلسة رقية,Book a spiritual healing session with Imam Shamsan,$100,Per session,,3,Active
Fundraising Event,احجز لجمع التبرعات,Book Imam Shamsan to lead your fundraising event,Contact for details,,,4,Active
Family or Personal Consultation,احجز استشارة إسلامية أسرية أو تربوية,Book a private Islamic family or personal consultation,$100,Per 1 hr session,,5,Active
Nikah Conducting,عقد زواج خارج إطار المسجد,Performing Nikah outside of the Masjid premises,$300,,,6,Active
Nasheed Night,احجز ليلة إنشادية,Book a beautiful evening of nasheeds and vocal performance,$400,Locally. Out of state: contact for details,,7,Active
Qur'anic Night,احجز ليلة قرآنية,Book an evening of Qur'anic recitation,$400,Locally. Out of state: contact for details,,8,Active
Mix Nasheed & Qur'anic Night,احجز ليلة إنشادية وقرآنية,Book a combined nasheed and Qur'anic recitation evening,$500,Locally. Out of state: contact for details,,9,Active
Hafs & Asim Course,احجز دورة برواية حفص عن عاصم,Private Qur'anic recitation course in the Hafs narration from Asim,$50,Per 1 hr session,,10,Active
Shu'bah & Asim Course,احجز دورة برواية شعبة عن عاصم,Private Qur'anic recitation course in the Shu'bah narration from Asim,$50,Per 1 hr session,,11,Active
Warsh & Nafi' Course,احجز دورة برواية ورش عن نافع,Private Qur'anic recitation course in the Warsh narration from Nafi',$50,Per 1 hr session,,12,Active
Other,احجز لأي شيء آخر,Have a special request? Reach out to discuss your needs,Contact to discuss,,,13,Active
